Filename,OCR System,CER,WER,Char Insertions,Char Deletions,Char Substitutions,Word Insertions,Word Deletions,Word Substitutions,Total Chars,Total Words,Significant Word Accuracy,Total Significant Words,Significant Word Errors,Capitalized Word Accuracy,Total Capitalized Words,Capitalized Word Errors,Number Group Accuracy,Total Number Groups,Number Group Errors,BLEU Score,Document Year,Age Group
Anonymous - 1728 - Some observations on the Assiento Trade_page_22.md,MinerU,0.031188,0.128134,3,23,37,0,11,35,2020,359,0.742331,163,42,0.800000,80,16,0.666667,3,1,0.000000,1728,1725-1749
Anonymous - 1731 - The Case of the British Sugar-Colonies_page_2.md,MinerU,0.272870,0.351604,14,1138,65,1,192,70,4460,748,0.549451,364,164,0.564593,209,91,0.333333,3,2,0.000000,1731,1725-1749
Anonymous - 1732 - Some considerations touching the sugar colonies_page_1.md,MinerU,0.035660,0.122340,2,49,20,1,20,25,1991,376,0.824859,177,31,0.880000,75,9,0.333333,3,2,0.000000,1732,1725-1749
Anonymous - 1740 - A letter from a gentleman at barbados to his friend now in London_page_25.md,MinerU,0.048632,0.167382,3,26,35,0,11,28,1316,233,0.675676,111,36,0.702128,47,14,0.666667,3,1,0.000000,1740,1725-1749
"Anonymous - 1743 - Acts of Assembly passed in the Island of Jamaica from 1681, to 1737, inclusive_page_118.md",MinerU,0.252839,0.405458,1003,244,200,179,77,160,5723,1026,0.402414,497,297,0.521886,297,142,-7.500000,2,17,0.000000,1743,1725-1749
Anonymous - 1744 - Reasons against the bill now depending in parliament intitled a bill for inlarging and regulating the trade to the levant seas_page_6.md,MinerU,0.028192,0.112486,9,35,94,1,13,86,4895,889,0.731429,350,94,0.731844,179,48,0.000000,1,1,0.000000,1744,1725-1749
Anonymous - 1746 - An essay concerning slavery and the danger Jamaica is expos'd too from the too great number of slaves_page_41.md,MinerU,0.031469,0.130841,3,15,18,2,5,21,1144,214,0.747664,107,27,0.790698,43,9,0.000000,2,2,0.000000,1746,1725-1749
Anonymous - 1752 - The art of making sugar_page_1.md,MinerU,0.046992,0.149123,14,44,67,3,10,55,2660,456,0.742739,241,62,0.714286,14,4,0.666667,3,1,0.000000,1752,1750-1774
Anonymous - 1753 - An accurate description of the cacao-tree_page_2.md,MinerU,0.030303,0.122302,4,27,34,2,7,42,2145,417,0.778947,190,42,0.789474,38,8,0.928571,14,1,0.000000,1753,1750-1774
Anonymous - 1757 - The Jamaica Association Develop'd_page_14.md,MinerU,0.045727,0.208889,1,37,23,0,17,30,1334,225,0.628571,105,39,0.647059,51,18,0.000000,1,1,0.000000,1757,1750-1774
Anonymous - 1764 - Astronomical Observations Made at the Island of Barbados; At Willoughby Fort_page_1.md,MinerU,0.116088,0.147368,123,24,37,1,10,31,1585,285,0.754601,163,40,0.877193,57,7,0.631579,19,7,0.000000,1764,1750-1774
Anonymous - 1766 - The privileges of the island of jamaica vindicated_page_64.md,MinerU,0.059764,0.206767,0,46,40,0,18,37,1439,266,0.617886,123,47,0.785714,14,3,0.000000,2,2,0.000000,1766,1750-1774
"Anonymous - 1768 - An act for vesting the settled estate of william nedham, esquire, in the island of Jamaica, in trustees for the purposes therein mentioned_page_7.md",MinerU,0.053751,0.250554,13,34,97,0,15,98,2679,451,0.536797,231,107,0.671429,140,46,0.000000,1,1,0.000000,1768,1750-1774
Anonymous - 1768 - Letters from a farmer in pennsylvania_page_74.md,MinerU,0.053815,0.201389,2,46,31,0,20,38,1468,288,0.651852,135,47,0.250000,4,3,0.000000,1,1,0.000000,1768,1750-1774
Anonymous - 1789 - Notes on the two reports from the committee of the honourable house of assembly of Jamaica_page_32.md,MinerU,0.073282,0.352697,5,55,36,0,27,58,1310,241,0.543103,116,53,0.785714,28,6,0.666667,12,4,0.000000,1789,1775-1799
Anonymous - 1792 - Bristol an abstract of the city charter_page_32.md,MinerU,0.043680,0.180905,3,16,28,0,7,29,1076,199,0.673913,92,30,0.750000,28,7,-1.000000,1,2,0.000000,1792,1775-1799
Anonymous - 1792 - Plain man's thoughts on the present price of sugar_page_15.md,MinerU,0.055639,0.182609,1,33,40,1,10,31,1330,230,0.639640,111,40,0.444444,9,5,0.000000,2,2,0.000000,1792,1775-1799
"Anonymous - 1793 - Memoir, on the sugar-trade of the British colonies_page_1.md",MinerU,0.018421,0.075188,0,13,1,0,5,5,760,133,0.843750,64,10,0.857143,7,1,0.000000,1,1,0.000000,1793,1775-1799
Anonymous - 1800 - Cushoo A dialogue between a negro and an english gentleman_page_7.md,MinerU,0.018409,0.065574,0,26,2,0,11,9,1521,305,0.922222,180,14,0.957447,47,2,0.000000,1,1,0.000000,1800,1800-1824
Anonymous - 1803 - Practical Rules for the management and medical treatment of negro slaves in the sugar colonies_page_243.md,MinerU,0.007536,0.021930,0,10,0,0,4,1,1327,228,0.971698,106,3,1.000000,2,0,0.000000,1,1,0.000000,1803,1800-1824
"Anonymous and Company - 1691 - A list of the names of all the adventurers in the stock of the honourable the East-India-Company, th_page_9.md",MinerU,0.046878,0.115345,31,147,84,3,29,80,5589,971,0.779249,453,100,0.864486,214,29,0.333333,3,2,0.000000,1691,1675-1699
"Anonymous and Kilkenny - 1643 - Orders establisht in the popish generall assembly, held (under the specious pretence of supreme auth_page_5.md",MinerU,0.108205,0.466165,163,141,118,159,25,126,3900,665,0.147692,325,277,0.623762,101,38,0.600000,10,4,0.000000,1643,1625-1649
Baker - 1775 - An essay on the art of making Moscavado sugar wherein a new process is proposed_page_1.md,MinerU,0.024465,0.099359,2,20,18,1,9,21,1635,312,0.808219,146,28,0.857143,70,10,0.800000,5,1,0.000000,1775,1775-1799
Banks - 1699 - The unhappy favourite_page_37.md,MinerU,0.065517,0.253846,6,57,70,1,23,75,2030,390,0.580311,193,81,0.679012,81,26,0.000000,1,1,0.000000,1699,1675-1699
Barham - 1717 - A letter of that curious Naturalist Mr Henry Barham_page_1.md,MinerU,0.114558,0.175719,2,172,18,1,26,28,1676,313,0.692810,153,47,0.614286,70,27,0.333333,3,2,0.000000,1717,1700-1724
Bishop - 1766 - Instructions and observations relative to the navigation of the windward and gulph passages_page_74.md,MinerU,0.028941,0.122530,1,18,19,0,8,23,1313,253,0.773438,128,29,0.870968,62,8,0.800000,5,1,0.000000,1766,1750-1774
Burroughs - 1659 - Rich Newes from Jamaica_page_4.md,MinerU,0.109235,0.293103,2,41,67,1,10,40,1007,174,0.483516,91,47,0.393939,33,20,0.000000,1,1,0.000000,1659,1650-1674
"Cary - 1695 - An essay on the state of England in relation to its trade, its poor, and its taxes, for carrying on_page_51.md",MinerU,0.086400,0.186099,3,182,31,0,38,45,2500,446,0.644860,214,76,0.562500,80,35,0.000000,3,3,0.000000,1695,1675-1699
Child - 1690 - A discourse about trade_page_175.md,MinerU,0.047321,0.170000,10,19,24,0,7,27,1120,200,0.637363,91,33,0.666667,42,14,0.800000,5,1,0.000000,1690,1675-1699
Cotton - 1614 - Gods promise to his plantation_page_14.md,MinerU,0.062670,0.234201,16,47,29,3,17,43,1468,269,0.609929,141,55,0.640000,25,9,0.250000,8,6,0.000000,1614,1600-1624
Cowley - 1739 - A description of the windward passage and gulf of florida_page_21.md,MinerU,0.036128,0.155894,3,17,33,0,6,35,1467,263,0.683333,120,38,0.750000,56,14,0.000000,1,1,0.000000,1739,1725-1749
"Davison - 1621 - Dauisons poems, or, A poeticall rapsodie Deuided into sixe bookes. The first, contayning poems and d_page_73.md",MinerU,0.261292,0.507937,29,249,260,9,31,152,2059,378,0.190909,220,178,0.250000,36,27,0.000000,3,3,0.000000,1621,1600-1624
Dirom - 1783 - Thoughts on the state of the militia of jamaica_page_20.md,MinerU,0.041538,0.168142,0,16,11,0,7,12,650,113,0.630435,46,17,0.769231,26,6,0.000000,1,1,0.000000,1783,1775-1799
"Edwards - 1798 - The history, civil and commercial, of the British colonies in the West Indies_page_211.md",MinerU,0.051646,0.183824,0,36,44,0,11,39,1549,272,0.616000,125,48,0.538462,13,6,0.500000,2,1,0.000000,1798,1775-1799
F. M. - 1634 - Wits Common Wealth The Second Part_page_198.md,MinerU,0.178699,0.387640,23,215,111,4,36,98,1953,356,0.394737,190,115,0.325000,40,27,0.125000,8,7,0.000000,1634,1625-1649
"Fawconer - 1774 - The Sporting Calendar, containing an account of the plates, matches, andf sweepstakes_page_182.md",MinerU,0.067663,0.278008,2,37,47,0,21,46,1271,241,0.702128,188,56,0.782051,78,17,0.881356,59,7,0.000000,1774,1750-1774
Feltham - 1803 - A popular view of the structure and economy of the human body_page_230.md,MinerU,0.339864,0.338843,0,450,1,0,78,4,1327,242,0.608333,120,47,0.166667,6,5,0.777778,9,2,0.000000,1803,1800-1824
Fox - 1800 - An address to the people of Great Britain on the propriety of abstaining from West India Sugar and Rum_page_5.md,MinerU,0.047040,0.195122,14,56,81,1,23,88,3210,574,0.618868,265,101,0.578947,19,8,0.666667,3,1,0.000000,1800,1800-1824
Gadbury - 1672 - The Jamaica Almanack_page_4.md,MinerU,0.080989,0.116456,78,49,63,5,14,27,2346,395,0.814286,210,39,0.788991,109,23,-1.000000,6,12,0.000000,1672,1650-1674
Gisborne - 1792 - On slavery and the slave trade_page_1.md,MinerU,0.045612,0.167939,6,16,44,0,8,36,1447,262,0.658120,117,40,0.833333,6,1,0.000000,1,1,0.000000,1792,1775-1799
Hamilton - 1718 - An answer to an Anonymous Libel_page_48.md,MinerU,0.029661,0.128440,0,15,20,0,7,21,1180,218,0.744681,94,24,0.738095,42,11,0.000000,1,1,0.000000,1718,1700-1724
Harris - 1691 - Remarks on the affairs and trade of England and Ireland_page_45.md,MinerU,0.035778,0.132150,5,39,57,0,8,59,2823,507,0.728448,232,63,0.825243,103,18,0.666667,6,2,0.000000,1691,1675-1699
Hayne - 1685 - An abstract of all the statutes made concerning aliens trading in England from the first-year of K._page_12.md,MinerU,0.066921,0.148187,46,182,123,3,29,111,5245,965,0.725207,484,133,0.775510,245,55,0.555556,9,4,0.000000,1685,1675-1699
Hickeringill - 1705 - Jamaica Viewed_page_28.md,MinerU,0.053333,0.147321,7,35,26,1,8,24,1275,224,0.721739,115,32,0.767857,56,13,0.000000,2,2,0.000000,1705,1700-1724
Hughes - 1750 - The Natural History of Barbados in Ten Books_page_211.md,MinerU,0.060241,0.173653,15,69,36,3,14,41,1992,334,0.714286,182,52,0.746988,83,21,0.000000,1,1,0.000000,1750,1750-1774
"Ingram - 1744 - An essay, on the nature, cause, and seat of dysentery's, in a letter to Dr. Henry Warren of Barbados_page_35.md",MinerU,0.042292,0.181818,0,19,12,0,6,18,733,132,0.655738,61,21,0.652174,23,8,0.000000,1,1,0.000000,1744,1725-1749
Janssen - 1713 - General Maxims in Trade_page_26.md,MinerU,0.025342,0.100719,0,19,18,0,7,21,1460,278,0.793388,121,25,0.923077,52,4,0.000000,1,1,0.000000,1713,1700-1724
"Kent - 1687 - A choice manual, or Rare secrets in physick and chirurgery collected, & practised by the Right Hono_page_106.md",MinerU,0.139418,0.265372,12,176,61,3,30,49,1786,309,0.537037,162,75,0.456522,46,25,0.666667,6,2,0.000000,1687,1675-1699
Leslie - 1740 - A new and exact account of Jamaica_page_184.md,MinerU,0.117309,0.164502,81,37,25,2,7,29,1219,231,0.686957,115,36,0.738462,65,17,-2.600000,5,18,0.000000,1740,1725-1749
Ligon - 1657 - A True and Exact history of the island of barbados_page_47.md,MinerU,0.061926,0.224329,12,111,86,6,34,102,3375,633,0.608247,291,114,0.648148,54,19,0.000000,2,2,0.000000,1657,1650-1674
"Long - 1774 - The history of Jamaica, or, general survey of the antient and modern state of that island_page_1.md",MinerU,0.057475,0.182008,9,81,73,0,20,67,2836,478,0.662222,225,76,0.333333,6,4,0.500000,4,2,0.000000,1774,1750-1774
"Marnettè - 1656 - The perfect cook being the most exact directions for the making all kinds of pastes, with the perfec_page_97.md",MinerU,0.125867,0.242574,7,179,68,1,30,67,2018,404,0.555556,189,84,0.333333,24,16,0.000000,3,3,0.000000,1656,1650-1674
"Morley - 1653 - A Vindication of that righteous principle of the doctrine of Christ, called laying on of hands upon_page_26.md",MinerU,0.090057,0.200436,7,181,33,0,36,56,2454,459,0.631068,206,76,0.272727,22,16,0.500000,4,2,0.000000,1653,1650-1674
Moseley and Moseley - 1799 - A treatise on sugar_page_103.md,MinerU,0.059314,0.226316,3,26,35,0,9,34,1079,190,0.675439,114,37,0.714286,14,4,0.600000,5,2,0.000000,1799,1775-1799
"Mullinax - 1660 - Symplegades antrum, or the rumpant story impartially relating their tyrannical dealings, and clymacterial downfall_page_16.md",MinerU,0.093976,0.221790,4,190,79,1,32,81,2905,514,0.646853,286,101,0.634615,104,38,0.000000,3,3,0.000000,1660,1650-1674
Norwood - 1753 - An account of some particulars_page_1.md,MinerU,0.071123,0.188544,6,108,52,2,19,58,2334,419,0.661972,213,72,0.600000,40,16,0.818182,11,2,0.000000,1753,1750-1774
Ogilby - 1671 - America_page_399.md,MinerU,0.101073,0.216019,101,63,81,8,16,65,2424,412,0.632287,223,82,0.600000,70,28,-4.333333,3,16,0.000000,1671,1650-1674
Priestley - 1788 - A sermon on the subject of the slave trade_page_29.md,MinerU,0.042254,0.140541,1,26,18,0,7,19,1065,185,0.734043,94,25,0.428571,7,4,0.000000,1,1,0.000000,1788,1775-1799
Prinsep - 1792 - The right in the West-India merchants to a double monopoly of the sugar market of Great Britain_page_1.md,MinerU,0.040385,0.175532,1,28,13,0,12,21,1040,188,0.712766,94,27,1.000000,8,0,0.600000,5,2,0.000000,1792,1775-1799
Prinsep - 1794 - Bengal Sugar. An account of the method and expence of cultivating the sugar-cane in Bengal_page_1.md,MinerU,0.104927,0.151515,75,16,24,2,6,22,1096,198,0.752381,105,26,0.833333,12,2,0.153846,13,11,0.000000,1794,1775-1799
Purchas - 1614 - Purchas his pilgrimage_page_484.md,MinerU,0.131198,0.287411,156,311,168,31,62,149,4840,842,0.523041,434,207,0.467532,77,41,0.500000,8,4,0.000000,1614,1600-1624
"Robertson - 1736 - The speech of Mr John Talbot Campo-bell, a free christian negro to his countrymen in the mountains of jamaica_page_47.md",MinerU,0.042889,0.164000,3,21,33,1,7,33,1329,250,0.633028,109,40,0.717949,39,11,0.500000,2,1,0.000000,1736,1725-1749
"Sheffeild - 1650 - A good conscience the strongest hold. A treatise of conscience, handling the nature acts offices use_page_109.md",MinerU,0.308498,0.424915,210,621,200,41,104,104,3342,586,0.305810,327,227,0.287671,73,52,0.266667,15,11,0.000000,1650,1650-1674
"Spire - 1698 - The natures, uses, & doses of several approved and experienced medicines, faithfully prepared by Joh_page_7.md",MinerU,0.105793,0.274029,25,195,74,7,38,89,2779,489,0.586331,278,115,0.625000,136,51,0.826087,23,4,0.000000,1698,1675-1699
Starkey - 1658 - Natures explication and Helmont's vindication. Or A short and sure way to a long and sound life bei_page_101.md,MinerU,0.190555,0.396226,22,218,107,5,41,80,1821,318,0.371429,175,110,0.292308,65,46,0.000000,3,3,0.000000,1658,1650-1674
"Stow - 1633 - The survey of London containing the original, increase, modern estate and government of that city, m_page_250.md",MinerU,0.213521,0.470964,676,760,538,201,154,383,9245,1567,0.248062,903,679,0.353365,416,269,-4.187500,16,83,0.000000,1633,1625-1649
"Stubbe - 1662 - The Indian Nectar, or a discourse concerning chocolata_page_105.md",MinerU,0.084379,0.365314,14,49,58,2,30,67,1434,271,0.527919,197,93,0.090909,11,10,1.000000,2,0,0.000000,1662,1650-1674
Thomas - 1800 - Different plans for improving the Habour of Bristol_page_27.md,MinerU,0.016408,0.064516,2,15,1,0,8,6,1097,217,0.879121,91,11,0.904762,21,2,0.750000,4,1,0.000000,1800,1800-1824
Tryon - 1684 - Friendly advice to the gentle-man planters of the east and west indies_page_112.md,MinerU,0.055914,0.226744,3,22,27,0,9,30,930,172,0.581395,86,36,0.718750,32,9,0.000000,1,1,0.000000,1684,1675-1699
"Vaughan - 1612 - Approved directions for health, both naturall and artificiall deriued from the best physitians as we_page_41.md",MinerU,0.143121,0.339474,12,217,81,1,45,83,2166,380,0.513158,228,111,0.394737,38,23,0.400000,5,3,0.000000,1612,1600-1624
Walwyn - 1646 - A word in season to all sorts of wel minded people in this miserably distracted and distempered nat_page_5.md,MinerU,0.090985,0.217918,7,143,67,1,25,64,2385,413,0.591133,203,83,0.515152,33,16,0.666667,3,1,0.000000,1646,1625-1649
"Williams - 1750 - An essay on the bilious, or yellow fever of jamaica_page_28.md",MinerU,0.043716,0.180451,2,20,42,0,7,41,1464,266,0.661538,130,44,0.666667,51,17,1.000000,1,0,0.000000,1750,1750-1774
Windham - 1804 - Facts better than arguments_page_99.md,MinerU,0.017857,0.098039,0,21,1,0,10,10,1232,204,0.801980,101,20,0.833333,6,1,0.000000,1,1,0.000000,1804,1800-1824
Woods - 1784 - Thoughts on the slavery of the negroes_page_1.md,MinerU,0.048152,0.200000,2,21,20,0,9,22,893,155,0.646341,82,29,1.000000,3,0,0.000000,1,1,0.000000,1784,1775-1799
"Worthington - 1620 - The ground of a Christians life Deliuered in a sermon at Harwood in Lancashire, the first day of Dec_page_22.md",MinerU,0.181532,0.371739,6,342,114,1,65,105,2545,460,0.383966,237,146,0.225806,31,24,0.222222,9,7,0.000000,1620,1600-1624
Wright - 1777 - Description of the Jesuits bark tree of Jamaica and the Caribbes_page_3.md,MinerU,0.212629,0.404494,90,42,33,1,8,27,776,89,0.586207,87,36,0.666667,24,8,-7.000000,2,16,0.000000,1777,1775-1799
Young - 1807 - The West-India Common-place Book_page_149.md,MinerU,0.865096,0.478261,700,36,72,0,74,3,934,161,0.352941,119,77,0.625000,32,12,0.968750,64,2,0.000000,1807,1800-1824
