Filename,OCR System,CER,WER,Char Insertions,Char Deletions,Char Substitutions,Word Insertions,Word Deletions,Word Substitutions,Total Chars,Total Words,Significant Word Accuracy,Total Significant Words,Significant Word Errors,Capitalized Word Accuracy,Total Capitalized Words,Capitalized Word Errors,Number Group Accuracy,Total Number Groups,Number Group Errors,BLEU Score,Document Year,Age Group
Harris - 1691 - Remarks on the affairs and trade of England and Ireland_page_45.md,OlmOCRv1,0.011335,0.04931,0,29,3,0,11,14,2823,507,0.900862,232,23,0.941748,103,6,0.833333,6,1,0,1691,1675-1699
Harris - 1691 - Remarks on the affairs and trade of England and Ireland_page_45.md,OlmOCRv2,0.010981,0.04931,0,29,2,0,11,14,2823,507,0.900862,232,23,0.941748,103,6,0.833333,6,1,0,1691,1675-1699
"Anonymous and Company - 1691 - A list of the names of all the adventurers in the stock of the honourable the East-India-Company, th_page_9.md",OlmOCRv2,0.027733,0.049434,3,144,8,0,31,17,5589,971,0.913907,453,39,0.906542,214,20,0,3,3,0,1691,1675-1699
Gadbury - 1672 - The Jamaica Almanack_page_4.md,OlmOCRv2,0.02046,0.050633,11,32,5,1,8,11,2346,395,0.914286,210,18,0.880734,109,13,1,6,0,0,1672,1650-1674
Hughes - 1750 - The Natural History of Barbados in Ten Books_page_211_page_001.md,Kraken,0.015562,0.050898,13,7,11,4,1,12,1992,334,0.917582,182,15,0.915663,83,7,1,1,0,0,1750,1750-1774
Anonymous - 1746 - An essay concerning slavery and the danger Jamaica is expos'd too from the too great number of slaves_page_41.md,OlmOCRv1,0.018357,0.051402,2,19,0,0,6,5,1144,214,0.906542,107,10,0.883721,43,5,0,2,2,0,1746,1725-1749
Anonymous - 1704 - Female Policy Detected_page_73.md,OlmOCRv2,0.012162,0.051724,0,12,6,0,6,9,1480,290,0.9,140,14,0.947368,57,3,0,1,1,0,1704,1700-1724
Anonymous - 1692 - A brief but most true relation of the late barbarous and bloody plot of the negro's in the island of Barbados_page_1.md,OlmOCRv2,0.033499,0.052288,8,18,1,1,4,3,806,153,0.890625,64,7,0.903226,31,3,0.4,5,3,0,1692,1675-1699
Cowley - 1739 - A description of the windward passage and gulf of florida_page_21_page_001.md,Kraken,0.01227,0.053232,2,5,11,1,1,12,1467,263,0.891667,120,13,0.910714,56,5,0,1,1,0,1739,1725-1749
Gisborne - 1792 - On slavery and the slave trade_page_1.md,OlmOCRv1,0.01244,0.053435,0,17,1,0,8,6,1447,262,0.905983,117,11,0.833333,6,1,0,1,1,0,1792,1775-1799
Feltham - 1803 - A popular view of the structure and economy of the human body_page_230.md,OlmOCRv1,0.017332,0.053719,0,23,0,0,7,6,1327,242,0.891667,120,13,0.833333,6,1,0.888889,9,1,0,1803,1800-1824
Feltham - 1803 - A popular view of the structure and economy of the human body_page_230.md,OlmOCRv2,0.017332,0.053719,0,23,0,0,7,6,1327,242,0.891667,120,13,0.833333,6,1,0.888889,9,1,0,1803,1800-1824
Hughes - 1750 - The Natural History of Barbados in Ten Books_page_211.md,OlmOCRv2,0.025602,0.053892,2,42,7,0,10,8,1992,334,0.912088,182,16,0.903614,83,8,0,1,1,0,1750,1750-1774
"Anonymous and Company - 1691 - A list of the names of all the adventurers in the stock of the honourable the East-India-Company, th_page_9_page_001.md",Kraken,0.011093,0.054583,7,14,41,1,7,45,5589,971,0.89404,453,48,0.88785,214,24,0.333333,3,2,0,1691,1675-1699
Anonymous - 1677 - The Case of His Majesties Plantations_page_3.md,OlmOCRv1,0.01104,0.054662,0,18,1,0,8,9,1721,311,0.896774,155,16,0.884615,78,9,0.833333,6,1,0,1677,1675-1699
Anonymous - 1677 - The Case of His Majesties Plantations_page_3.md,OlmOCRv2,0.01104,0.054662,0,18,1,0,8,9,1721,311,0.896774,155,16,0.884615,78,9,0.833333,6,1,0,1677,1675-1699
Hamilton - 1718 - An answer to an Anonymous Libel_page_48_page_001.md,Kraken,0.011864,0.055046,0,9,5,0,5,7,1180,218,0.914894,94,8,0.880952,42,5,0,1,1,0,1718,1700-1724
Hamilton - 1718 - An answer to an Anonymous Libel_page_48.md,OlmOCRv1,0.014407,0.055046,0,17,0,0,8,4,1180,218,0.914894,94,8,0.928571,42,3,0,1,1,0,1718,1700-1724
Hamilton - 1718 - An answer to an Anonymous Libel_page_48.md,OlmOCRv2,0.014407,0.055046,0,17,0,0,8,4,1180,218,0.914894,94,8,0.928571,42,3,0,1,1,0,1718,1700-1724
Anonymous - 1753 - An accurate description of the cacao-tree_page_2.md,OlmOCRv2,0.013986,0.055156,5,22,3,0,9,14,2145,417,0.889474,190,21,0.815789,38,7,0.928571,14,1,0,1753,1750-1774
Anonymous - 1792 - Bristol an abstract of the city charter_page_32.md,OlmOCRv1,0.013011,0.055276,0,14,0,0,7,4,1076,199,0.913043,92,8,0.964286,28,1,0,1,1,0,1792,1775-1799
Anonymous - 1792 - Bristol an abstract of the city charter_page_32.md,OlmOCRv2,0.013011,0.055276,0,14,0,0,7,4,1076,199,0.913043,92,8,0.964286,28,1,0,1,1,0,1792,1775-1799
Anonymous - 1746 - An essay concerning slavery and the danger Jamaica is expos'd too from the too great number of slaves_page_41.md,DeepSeek,0.012238,0.056075,4,8,2,0,3,9,1144,214,0.906542,107,10,0.860465,43,6,1,2,0,0,1746,1725-1749
"Williams - 1750 - An essay on the bilious, or yellow fever of jamaica_page_28.md",OlmOCRv2,0.017077,0.056391,2,20,3,0,8,7,1464,266,0.907692,130,12,0.901961,51,5,0,1,1,0,1750,1750-1774
Anonymous - 1792 - Plain man's thoughts on the present price of sugar_page_15_page_001.md,Kraken,0.009774,0.056522,0,5,8,1,3,9,1330,230,0.900901,111,11,0.666667,9,3,1,2,0,0,1792,1775-1799
"Anonymous and Company - 1691 - A list of the names of all the adventurers in the stock of the honourable the East-India-Company, th_page_9.md",OlmOCRv1,0.029343,0.056643,7,148,9,0,33,22,5589,971,0.900662,453,45,0.892523,214,23,0,3,3,0,1691,1675-1699
Gisborne - 1792 - On slavery and the slave trade_page_1.md,OlmOCRv2,0.015895,0.057252,0,22,1,0,9,6,1447,262,0.905983,117,11,0.833333,6,1,0,1,1,0,1792,1775-1799
Anonymous - 1728 - Some observations on the Assiento Trade_page_22.md,OlmOCRv1,0.013861,0.058496,0,23,5,0,11,10,2020,359,0.883436,163,19,0.9,80,8,0.666667,3,1,0,1728,1725-1749
Bishop - 1766 - Instructions and observations relative to the navigation of the windward and gulph passages_page_74_page_001.md,Kraken,0.012186,0.059289,0,4,12,0,2,13,1313,253,0.898438,128,13,0.870968,62,8,1,5,0,0,1766,1750-1774
Priestley - 1788 - A sermon on the subject of the slave trade_page_29.md,OlmOCRv1,0.02723,0.059459,0,29,0,0,8,3,1065,185,0.904255,94,9,0.714286,7,2,0,1,1,0,1788,1775-1799
Priestley - 1788 - A sermon on the subject of the slave trade_page_29.md,OlmOCRv2,0.02723,0.059459,0,29,0,0,8,3,1065,185,0.904255,94,9,0.714286,7,2,0,1,1,0,1788,1775-1799
Hamilton - 1718 - An answer to an Anonymous Libel_page_48.md,DeepSeek,0.011017,0.059633,0,12,1,0,7,6,1180,218,0.904255,94,9,0.904762,42,4,1,1,0,0,1718,1700-1724
Thomas - 1800 - Different plans for improving the Habour of Bristol_page_27_page_001.md,Kraken,0.014585,0.059908,3,6,7,0,4,9,1097,217,0.89011,91,10,0.904762,21,2,0.5,4,2,0,1800,1800-1824
Thomas - 1800 - Different plans for improving the Habour of Bristol_page_27.md,OlmOCRv2,0.014585,0.059908,1,15,0,0,8,5,1097,217,0.89011,91,10,0.904762,21,2,0.75,4,1,0,1800,1800-1824
Thomas - 1800 - Different plans for improving the Habour of Bristol_page_27.md,DeepSeek,0.011851,0.059908,2,10,1,0,6,7,1097,217,0.89011,91,10,0.952381,21,1,1,4,0,0,1800,1800-1824
Anonymous - 1753 - An accurate description of the cacao-tree_page_2.md,OlmOCRv1,0.017249,0.059952,3,24,10,0,9,16,2145,417,0.884211,190,22,0.868421,38,5,0.928571,14,1,0,1753,1750-1774
"Williams - 1750 - An essay on the bilious, or yellow fever of jamaica_page_28.md",OlmOCRv1,0.019809,0.06015,2,24,3,0,9,7,1464,266,0.9,130,13,0.901961,51,5,0,1,1,0,1750,1750-1774
Leslie - 1740 - A new and exact account of Jamaica_page_184.md,DeepSeek,0.013126,0.060606,4,1,11,2,0,12,1219,231,0.878261,115,14,0.923077,65,5,0.8,5,1,0,1740,1725-1749
Anonymous - 1746 - An essay concerning slavery and the danger Jamaica is expos'd too from the too great number of slaves_page_41_page_001.md,Kraken,0.01486,0.060748,5,7,5,2,1,10,1144,214,0.925234,107,8,0.883721,43,5,0.5,2,1,0,1746,1725-1749
Baker - 1775 - An essay on the art of making Moscavado sugar wherein a new process is proposed_page_1.md,OlmOCRv1,0.014679,0.060897,1,20,3,1,9,9,1635,312,0.890411,146,16,0.928571,70,5,0.8,5,1,0,1775,1775-1799
Norwood - 1753 - An account of some particulars_page_1.md,OlmOCRv2,0.01371,0.062053,0,27,5,0,10,16,2334,419,0.882629,213,25,0.775,40,9,0.818182,11,2,0,1753,1750-1774
"Anonymous - 1768 - An act for vesting the settled estate of william nedham, esquire, in the island of Jamaica, in trustees for the purposes therein mentioned_page_7_page_001.md",Kraken,0.011198,0.062084,3,5,22,0,2,26,2679,451,0.887446,231,26,0.85,140,21,0,1,1,0,1768,1750-1774
Moseley and Moseley - 1799 - A treatise on sugar_page_103.md,OlmOCRv2,0.019462,0.063158,1,20,0,0,9,3,1079,190,0.929825,114,8,0.928571,14,1,0.6,5,2,0,1799,1775-1799
Bishop - 1766 - Instructions and observations relative to the navigation of the windward and gulph passages_page_74.md,OlmOCRv2,0.016756,0.063241,1,19,2,0,8,8,1313,253,0.890625,128,14,0.919355,62,5,0.8,5,1,0,1766,1750-1774
Windham - 1804 - Facts better than arguments_page_99_page_001.md,Kraken,0.011364,0.063725,2,0,12,1,1,11,1232,204,0.881188,101,12,0.833333,6,1,0,1,1,0,1804,1800-1824
Anonymous - 1732 - Some considerations touching the sugar colonies_page_1.md,OlmOCRv1,0.018584,0.06383,0,36,1,0,18,6,1991,376,0.937853,177,11,0.933333,75,5,0.666667,3,1,0,1732,1725-1749
Anonymous - 1728 - Some observations on the Assiento Trade_page_22.md,DeepSeek,0.014356,0.064067,1,20,8,0,10,13,2020,359,0.877301,163,20,0.9,80,8,1,3,0,0,1728,1725-1749
Baker - 1775 - An essay on the art of making Moscavado sugar wherein a new process is proposed_page_1.md,OlmOCRv2,0.020183,0.064103,5,22,6,1,10,9,1635,312,0.890411,146,16,0.9,70,7,0.8,5,1,0,1775,1775-1799
Thomas - 1800 - Different plans for improving the Habour of Bristol_page_27.md,OlmOCRv1,0.015497,0.064516,2,15,0,0,8,6,1097,217,0.879121,91,11,0.904762,21,2,0.75,4,1,0,1800,1800-1824
"Anonymous - 1695 - Reasons humbly offer'd, why a duty should not be laid on sugars_page_2.md",OlmOCRv1,0.032483,0.064635,2,172,17,0,40,30,5880,1083,0.877016,496,61,0.859574,235,33,0.333333,6,4,0,1695,1675-1699
"Anonymous - 1695 - Reasons humbly offer'd, why a duty should not be laid on sugars_page_2.md",OlmOCRv2,0.031803,0.064635,4,170,13,0,40,30,5880,1083,0.877016,496,61,0.859574,235,33,0.333333,6,4,0,1695,1675-1699
Harris - 1691 - Remarks on the affairs and trade of England and Ireland_page_45_page_001.md,Kraken,0.012752,0.065089,7,2,27,3,0,30,2823,507,0.866379,232,31,0.932039,103,7,0.5,6,3,0,1691,1675-1699
Anonymous - 1792 - Plain man's thoughts on the present price of sugar_page_15.md,OlmOCRv1,0.019549,0.065217,0,25,1,0,10,5,1330,230,0.882883,111,13,0.666667,9,3,0,2,2,0,1792,1775-1799
Anonymous - 1792 - Plain man's thoughts on the present price of sugar_page_15.md,OlmOCRv2,0.019549,0.065217,0,25,1,0,10,5,1330,230,0.882883,111,13,0.666667,9,3,0,2,2,0,1792,1775-1799
"Anonymous - 1712 - Some considerations humbly offered, against Granting the Sole TRade to Guiny from cape blanco to cape lopez_page_1.md",OlmOCRv1,0.042134,0.065549,1,150,3,0,30,13,3655,656,0.88,300,36,0.889535,172,19,0.5,6,3,0,1712,1700-1724
"Edwards - 1798 - The history, civil and commercial, of the British colonies in the West Indies_page_211.md",OlmOCRv1,0.023241,0.066176,3,29,4,0,10,8,1549,272,0.856,125,18,0.692308,13,4,0.5,2,1,0,1798,1775-1799
"Edwards - 1798 - The history, civil and commercial, of the British colonies in the West Indies_page_211.md",OlmOCRv2,0.022595,0.066176,0,34,1,0,11,7,1549,272,0.856,125,18,0.692308,13,4,0.5,2,1,0,1798,1775-1799
"Anonymous - 1660 - By the merchants owners of ships and mariners, trading to His Majesties sugar-plantations_page_2.md",OlmOCRv1,0.053717,0.066667,2,120,3,0,18,9,2327,405,0.889908,218,24,0.794393,107,22,0,1,1,0,1660,1650-1674
Anonymous - 1728 - Some observations on the Assiento Trade_page_22.md,OlmOCRv2,0.015347,0.066852,0,27,4,0,11,13,2020,359,0.865031,163,22,0.85,80,12,0.666667,3,1,0,1728,1725-1749
"Anonymous - 1793 - Memoir, on the sugar-trade of the British colonies_page_1.md",DeepSeek,0.011842,0.067669,0,8,1,0,4,5,760,133,0.859375,64,9,0.857143,7,1,1,1,0,0,1793,1775-1799
Moseley and Moseley - 1799 - A treatise on sugar_page_103.md,OlmOCRv1,0.018536,0.068421,1,19,0,0,9,4,1079,190,0.921053,114,9,0.928571,14,1,0.6,5,2,0,1799,1775-1799
"Anonymous - 1680 - The Interest of the three kingdoms, with respect to the business of the black box, and all the other_page_10.md",OlmOCRv2,0.045005,0.069372,3,172,16,1,33,19,4244,764,0.873563,348,44,0.872093,172,22,0,4,4,0,1680,1675-1699
Anonymous - 1744 - Reasons against the bill now depending in parliament intitled a bill for inlarging and regulating the trade to the levant seas_page_6.md,DeepSeek,0.018386,0.069741,4,39,47,0,13,49,4895,889,0.84,350,56,0.804469,179,35,1,1,0,0,1744,1725-1749
Anonymous - 1700 - The English acquisitions in Guinea and East-India_page_50.md,OlmOCRv1,0.023961,0.070151,3,81,10,1,28,22,3923,727,0.887879,330,37,0.857143,63,9,0,2,2,0,1700,1700-1724
Anonymous - 1764 - Astronomical Observations Made at the Island of Barbados; At Willoughby Fort_page_1_page_001.md,Kraken,0.017035,0.070175,0,9,18,0,0,20,1585,285,0.877301,163,20,0.859649,57,8,0.684211,19,6,0,1764,1750-1774
Prinsep - 1794 - Bengal Sugar. An account of the method and expence of cultivating the sugar-cane in Bengal_page_1.md,OlmOCRv1,0.016423,0.070707,0,16,2,0,8,6,1096,198,0.885714,105,12,1,12,0,0.538462,13,6,0,1794,1775-1799
Woods - 1784 - Thoughts on the slavery of the negroes_page_1_page_001.md,Kraken,0.014558,0.070968,0,4,9,0,2,9,893,155,0.890244,82,9,0.666667,3,1,1,1,0,0,1784,1775-1799
Gisborne - 1792 - On slavery and the slave trade_page_1.md,DeepSeek,0.024188,0.072519,2,22,11,0,8,11,1447,262,0.863248,117,16,0.666667,6,2,0,1,1,0,1792,1775-1799
Anonymous - 1700 - The English acquisitions in Guinea and East-India_page_50.md,OlmOCRv2,0.029314,0.072902,3,103,9,1,31,21,3923,727,0.890909,330,36,0.84127,63,10,0,2,2,0,1700,1700-1724
"Anonymous - 1680 - The Interest of the three kingdoms, with respect to the business of the black box, and all the other_page_10.md",OlmOCRv1,0.04689,0.073298,3,182,14,1,34,21,4244,764,0.864943,348,47,0.860465,172,24,0,4,4,0,1680,1675-1699
Anonymous - 1792 - Plain man's thoughts on the present price of sugar_page_15.md,DeepSeek,0.027068,0.073913,2,20,14,0,7,10,1330,230,0.855856,111,16,0.555556,9,4,0.5,2,1,0,1792,1775-1799
"Anonymous - 1793 - Memoir, on the sugar-trade of the British colonies_page_1.md",OlmOCRv1,0.018421,0.075188,0,13,1,0,5,5,760,133,0.84375,64,10,0.857143,7,1,0,1,1,0,1793,1775-1799
"Anonymous - 1793 - Memoir, on the sugar-trade of the British colonies_page_1.md",OlmOCRv2,0.018421,0.075188,0,13,1,0,5,5,760,133,0.84375,64,10,0.857143,7,1,0,1,1,0,1793,1775-1799
"Anonymous - 1768 - An act for vesting the settled estate of william nedham, esquire, in the island of Jamaica, in trustees for the purposes therein mentioned_page_7.md",OlmOCRv1,0.014558,0.075388,2,35,2,0,16,18,2679,451,0.852814,231,34,0.892857,140,15,0,1,1,0,1768,1750-1774
Priestley - 1788 - A sermon on the subject of the slave trade_page_29.md,DeepSeek,0.030047,0.075676,0,29,3,0,8,6,1065,185,0.87234,94,12,0.714286,7,2,0,1,1,0,1788,1775-1799
Ligon - 1657 - A True and Exact history of the island of barbados_page_47.md,OlmOCRv2,0.02637,0.075829,4,70,15,0,20,28,3375,633,0.859107,291,41,0.851852,54,8,0.5,2,1,0,1657,1650-1674
Fox - 1800 - An address to the people of Great Britain on the propriety of abstaining from West India Sugar and Rum_page_5.md,OlmOCRv1,0.016199,0.076655,1,50,1,0,24,20,3210,574,0.856604,265,38,1,19,0,0.333333,3,2,0,1800,1800-1824
"Anonymous - 1768 - An act for vesting the settled estate of william nedham, esquire, in the island of Jamaica, in trustees for the purposes therein mentioned_page_7.md",OlmOCRv2,0.015677,0.077605,3,36,3,0,16,19,2679,451,0.848485,231,35,0.885714,140,16,0,1,1,0,1768,1750-1774
Ogilby - 1671 - America_page_399.md,OlmOCRv2,0.035891,0.07767,1,80,6,0,17,15,2424,412,0.869955,223,29,0.857143,70,10,0.666667,3,1,0,1671,1650-1674
Hayne - 1685 - An abstract of all the statutes made concerning aliens trading in England from the first-year of K._page_12.md,OlmOCRv2,0.04061,0.07772,3,176,34,1,36,38,5245,965,0.857438,484,69,0.84898,245,37,0.666667,9,3,0,1685,1675-1699
Fox - 1800 - An address to the people of Great Britain on the propriety of abstaining from West India Sugar and Rum_page_5.md,OlmOCRv2,0.016511,0.078397,1,49,3,0,23,22,3210,574,0.85283,265,39,0.947368,19,1,0.333333,3,2,0,1800,1800-1824
Windham - 1804 - Facts better than arguments_page_99.md,DeepSeek,0.01461,0.078431,0,17,1,0,8,8,1232,204,0.841584,101,16,0.833333,6,1,0,1,1,0,1804,1800-1824
Moseley and Moseley - 1799 - A treatise on sugar_page_103_page_001.md,Kraken,0.022243,0.078947,7,8,9,2,4,9,1079,190,0.912281,114,10,0.714286,14,4,1,5,0,0,1799,1775-1799
"Anonymous - 1712 - Some considerations humbly offered, against Granting the Sole TRade to Guiny from cape blanco to cape lopez_page_1.md",OlmOCRv2,0.045417,0.079268,0,163,3,0,32,20,3655,656,0.856667,300,43,0.843023,172,27,0.5,6,3,0,1712,1700-1724
Anonymous - 1757 - The Jamaica Association Develop'd_page_14_page_001.md,Kraken,0.017241,0.08,1,10,12,0,5,13,1334,225,0.885714,105,12,0.803922,51,10,1,1,0,0,1757,1750-1774
Ogilby - 1671 - America_page_399.md,OlmOCRv1,0.036304,0.080097,2,79,7,0,17,16,2424,412,0.865471,223,30,0.871429,70,9,0.666667,3,1,0,1671,1650-1674
Anonymous - 1677 - The Case of His Majesties Plantations_page_3_page_001.md,Kraken,0.014526,0.080386,1,4,20,1,3,21,1721,311,0.851613,155,23,0.820513,78,14,0.833333,6,1,0,1677,1675-1699
Anonymous - 1792 - Bristol an abstract of the city charter_page_32.md,DeepSeek,0.020446,0.080402,1,4,17,0,3,13,1076,199,0.880435,92,11,0.821429,28,5,1,1,0,0,1792,1775-1799
Hayne - 1685 - An abstract of all the statutes made concerning aliens trading in England from the first-year of K._page_12.md,OlmOCRv1,0.042707,0.080829,4,200,20,0,41,37,5245,965,0.857438,484,69,0.857143,245,35,0.666667,9,3,0,1685,1675-1699
"Edwards - 1798 - The history, civil and commercial, of the British colonies in the West Indies_page_211.md",DeepSeek,0.027114,0.080882,1,33,8,1,9,12,1549,272,0.824,125,22,0.769231,13,3,0.5,2,1,0,1798,1775-1799
"Anonymous - 1695 - Reasons humbly offer'd, why a duty should not be laid on sugars_page_2_page_001.md",Kraken,0.015306,0.081256,7,19,64,11,9,68,5880,1083,0.844758,496,77,0.87234,235,30,0.666667,6,2,0,1695,1675-1699
"Anonymous and Kilkenny - 1643 - Orders establisht in the popish generall assembly, held (under the specious pretence of supreme auth_page_5.md",OlmOCRv1,0.042051,0.082707,3,156,5,0,34,21,3900,665,0.858462,325,46,0.792079,101,21,0.7,10,3,0,1643,1625-1649
Barham - 1717 - A letter of that curious Naturalist Mr Henry Barham_page_1.md,OlmOCRv1,0.096062,0.083067,0,161,0,0,23,3,1676,313,0.869281,153,20,0.885714,70,8,0.333333,3,2,0,1717,1700-1724
"Ingram - 1744 - An essay, on the nature, cause, and seat of dysentery's, in a letter to Dr. Henry Warren of Barbados_page_35_page_001.md",Kraken,0.016371,0.083333,0,5,7,0,3,8,733,132,0.868852,61,8,0.782609,23,5,1,1,0,0,1744,1725-1749
